ime_tekmovalca,starost
Vincenzo Nibali,30
Lars Boom,29
Jakob Fuglsang,30
Andriy Hrivko,31
Dmitriy Gruzdev,29
Tanel Kangert,28
Michele Scarponi,35
Rein Taaramäe,28
Lieuwe Westra,32
Jean-Christophe Péraud,38
Romain Bardet,24
Jan Bakelants,29
Mikaël Cherel,29
Ben Gastauer,27
Damien Gaudin,28
Christophe Riblon,34
Johan Vansummeren,34
Alexis Vuillermoz,27
Thibaut Pinot,25
William Bonnet,33
Sébastien Chavanel,34
Arnaud Démare,23
Alexandre Geniez,27
Mathieu Ladagnous,30
Steve Morabito,32
Jérémy Roy,32
Benoît Vaugrenard,33
Chris Froome,30
Peter Kennaugh,26
Leopold König,27
Wout Poels,27
Richie Porte,30
Nicolas Roche,31
Luke Rowe,25
Ian Stannard,28
Geraint Thomas,29
Alberto Contador,32
Ivan Basso,37
Daniele Bennati,34
Roman Kreuziger,29
Rafał Majka,25
Michael Rogers,35
Peter Sagan,25
Matteo Tosatto,41
Michael Valgren,23
Nairo Quintana,25
Winner Anacona,26
Jonathan Castroviejo,28
Alex Dowsett,26
Imanol Erviti,31
José Herrada,29
Gorka Izagirre,27
Adriano Malori,27
Alejandro Valverde,35
Tejay van Garderen,26
Damiano Caruso,27
Rohan Dennis,25
Daniel Oss,28
Manuel Quinziato,35
Samuel Sánchez,37
Michael Schär,28
Greg Van Avermaet,30
Danilo Wyss,29
Tony Gallopin,27
Lars Bak,35
Thomas De Gendt,28
Jens Debusschere,25
André Greipel,32
Adam Hansen,34
Greg Henderson,38
Marcel Sieberg,33
Tim Wellens,24
John Degenkolb,26
Warren Barguil,23
Roy Curvers,35
Koen de Kort,32
Tom Dumoulin,24
Simon Geschke,29
Georg Preidler,25
Ramon Sinkeldam,26
Albert Timmer,30
Joaquim Rodríguez,36
Giampaolo Caruso,34
Jacopo Guarnieri,27
Marco Haller,24
Dmitry Kozonchuk,31
Alexander Kristoff,27
Alberto Losada,33
Tiago Machado,29
Luca Paolini,38
Simon Gerrans,35
Michael Albasini,34
Luke Durbridge,24
Daryl Impey,30
Michael Matthews,24
Svein Tuft,38
Pieter Weening,34
Adam Yates,22
Simon Yates,22
Michał Kwiatkowski,25
Mark Cavendish,30
Michał Gołaś,31
Tony Martin,30
Mark Renshaw,32
Zdeněk Štybar,29
Matteo Trentin,25
Rigoberto Urán,28
Julien Vermote,25
Pierre Rolland,28
Bryan Coquard,23
Cyril Gautier,27
Yohann Gène,34
Bryan Nauleau,27
Perrig Quéméneur,31
Romain Sicard,27
Angelo Tulik,24
Thomas Voeckler,36
Robert Gesink,29
Wilco Kelderman,24
Steven Kruijswijk,28
Tom Leezer,29
Paul Martens,31
Bram Tankink,36
Laurens ten Dam,34
Jos van Emden,30
Sep Vanmarcke,26
Bauke Mollema,28
Julián Arredondo,26
Fabian Cancellara,34
Stijn Devolder,35
Laurent Didier,30
Markel Irizar,35
Bob Jungels,22
Grégory Rast,35
Haimar Zubeldia,38
Rui Costa,28
Matteo Bono,31
Davide Cimolai,25
Kristijan Đurasek,27
Nelson Oliveira,26
Rubén Plaza,35
Filippo Pozzato,33
José Serpa,36
Rafael Valls,28
Andrew Talansky,26
Jack Bauer,30
Nathan Haas,26
Ryder Hesjedal,34
Kristijan Koren,28
Sebastian Langeveld,30
Dan Martin,28
Ramūnas Navardauskas,27
Dylan van Baarle,23
Nacer Bouhanni,24
Nicolas Edet,27
Christophe Laporte,22
Luis Ángel Maté,31
Daniel Navarro,31
Florian Sénéchal,21
Julien Simon,29
Geoffrey Soupe,27
Kenneth Vanbilsen,25
Mathias Frank,28
Matthias Brändle,25
Sylvain Chavanel,36
Stef Clement,32
Jérôme Coppel,28
Martin Elmiger,36
Reto Hollenstein,29
Jarlinson Pantano,26
Marcel Wyss,29
Dominik Nerz,25
Jan Bárta,30
Sam Bennett,24
Emanuel Buchmann,22
Zak Dempster,27
Bartosz Huzarski,34
José Mendes,30
Andreas Schillinger,31
Paul Voss,29
Eduardo Sepúlveda,24
Frédéric Brun,26
Anthony Delaplace,25
Pierrick Fédrigo,36
Brice Feillu,29
Armindo Fonseca,26
Arnaud Gérard,30
Pierre-Luc Périchon,28
Florian Vachon,30
Edvald Boasson Hagen,28
Steve Cummings,34
Tyler Farrar,31
Jacques Janse van Rensburg,27
Reinardt Janse van Rensburg,26
Merhawi Kudus,21
Louis Meintjes,23
Serge Pauwels,31
Daniel Teklehaimanot,26
