ime_tekmovalca,starost
Chris Froome,28
Edvald Boasson Hagen,26
Peter Kennaugh,24
Vasil Kiryienka,32
David López,32
Richie Porte,28
Kanstantsin Sivtsov,30
Ian Stannard,26
Geraint Thomas,27
Peter Sagan,23
Maciej Bodnar,28
Alessandro De Marchi,27
Ted King,30
Kristijan Koren,26
Alan Marangoni,28
Moreno Moser,22
Fabio Sabatini,28
Brian Vandborg,31
Jurgen Van den Broeck,30
Lars Bak,33
Bart De Clercq,26
André Greipel,30
Adam Hansen,32
Greg Henderson,36
Jürgen Roelandts,27
Marcel Sieberg,31
Frederik Willems,33
Cadel Evans,36
Brent Bookwalter,29
Marcus Burghardt,30
Philippe Gilbert,30
Amaël Moinard,31
Steve Morabito,30
Manuel Quinziato,33
Michael Schär,26
Tejay van Garderen,24
Andy Schleck,28
Jan Bakelants,27
Laurent Didier,28
Tony Gallopin,25
Markel Irizar,33
Andreas Klöden,38
Maxime Monfort,30
Jens Voigt,41
Haimar Zubeldia,36
Pierre Rolland,26
Yukiya Arashiro,28
Jérôme Cousin,24
Cyril Gautier,25
Yohann Gène,32
Davide Malacarne,25
Kévin Reza,25
David Veilleux,25
Thomas Voeckler,37
Janez Brajkovič,29
Assan Bazayev,32
Jakob Fuglsang,28
Enrico Gasparotto,30
Francesco Gavazzi,28
Andrey Kashechkin,33
Fredrik Kessiakoff,33
Alexey Lutsenko,20
Dimitry Muravyev,33
Thibaut Pinot,23
William Bonnet,31
Nacer Bouhanni,22
Murilo Fischer,34
Alexandre Geniez,25
Arnold Jeannesson,27
Jérémy Roy,30
Arthur Vichot,24
Jean-Christophe Péraud,36
Romain Bardet,22
Maxime Bouet,26
Samuel Dumoulin,32
Hubert Dupont,32
John Gadret,34
Blel Kadri,26
Sébastien Minard,31
Christophe Riblon,32
Alberto Contador,30
Daniele Bennati,32
Jesús Hernández,31
Roman Kreuziger,27
Benjamín Noval,33
Sérgio Paulinho,33
Nicolas Roche,28
Michael Rogers,33
Matteo Tosatto,39
Joaquim Rodríguez,34
Pavel Brutt,31
Alexander Kristoff,25
Aleksandr Kuschynski,33
Alberto Losada,31
Daniel Moreno,31
Gatis Smukulis,26
Yuri Trofimov,29
Eduard Vorganov,30
Igor Antón,30
Mikel Astarloza,33
Gorka Izagirre,25
Jon Izagirre,24
Juan José Lobato,24
Mikel Nieve,29
Juan José Oroz,32
Rubén Pérez,31
Romain Sicard,25
Alejandro Valverde,33
Andrey Amador,26
Jonathan Castroviejo,26
Rui Costa,26
Imanol Erviti,29
Iván Gutiérrez,34
Rubén Plaza,33
Nairo Quintana,23
José Joaquín Rojas,28
Rein Taaramäe,26
Yoann Bagot,25
Jérôme Coppel,26
Egoitz García,27
Christophe Le Mével,32
Guillaume Levarlet,27
Luis Ángel Maté,29
Rudy Molard,23
Daniel Navarro,29
Damiano Cunego,31
Matteo Bono,30
Davide Cimolai,23
Elia Favilli,24
Roberto Ferrari,30
Adriano Malori,25
Manuele Mori,32
Przemysław Niemiec,29
José Serpa,34
Mark Cavendish,28
Sylvain Chavanel,34
Michał Kwiatkowski,23
Tony Martin,28
Jérôme Pineau,33
Gert Steegmans,32
Niki Terpstra,29
Matteo Trentin,23
Peter Velits,28
Lars Boom,27
Robert Gesink,27
Tom Leezer,27
Bauke Mollema,26
Lars Petter Nordhaug,29
Bram Tankink,34
Laurens ten Dam,32
Sep Vanmarcke,24
Maarten Wynants,31
Ryder Hesjedal,32
Jack Bauer,28
Tom Danielson,35
Rohan Dennis,23
Dan Martin,26
David Millar,36
Ramūnas Navardauskas,25
Andrew Talansky,25
Christian Vande Velde,37
Simon Gerrans,33
Michael Albasini,32
Simon Clarke,26
Matthew Goss,26
Daryl Impey,28
Brett Lancaster,33
Cameron Meyer,25
Stuart O'Grady,39
Svein Tuft,36
John Degenkolb,24
Roy Curvers,33
Koen de Kort,30
Tom Dumoulin,22
Johannes Fröhlinger,28
Simon Geschke,27
Marcel Kittel,25
Albert Timmer,28
Tom Veelers,28
Wout Poels,25
Kris Boeckmans,26
Thomas De Gendt,26
Juan Antonio Flecha,35
Johnny Hoogerland,30
Sergey Lagutin,32
Boy van Poppel,25
Danny van Poppel,19
Lieuwe Westra,30
Brice Feillu,27
Anthony Delaplace,23
Julien El Fares,28
Jonathan Hivert,28
Cyril Lemoine,30
Jean-Marc Marino,29
Maxime Méderel,32
Julien Simon,27
Alexis Vuillermoz,25
