ime_tekmovalca,starost
Chris Froome,29
Bernhard Eisel,33
Vasil Kiryienka,33
David López,33
Mikel Nieve,30
Danny Pate,35
Richie Porte,29
Geraint Thomas,28
Xabier Zandio,37
Alejandro Valverde,34
Imanol Erviti,30
John Gadret,35
Jesús Herrada,23
Beñat Intxausti,28
Jon Izagirre,25
Rubén Plaza,34
José Joaquín Rojas,29
Giovanni Visconti,31
Joaquim Rodríguez,35
Vladimir Isaichev,28
Alexander Kristoff,27
Luca Paolini,37
Alexander Porsev,28
Egor Silin,26
Gatis Smukulis,27
Simon Špilak,28
Yuri Trofimov,30
Alberto Contador,31
Daniele Bennati,33
Jesús Hernández,32
Rafał Majka,24
Michael Mørkøv,29
Sérgio Paulinho,34
Nicolas Roche,30
Michael Rogers,34
Matteo Tosatto,40
Vincenzo Nibali,29
Jakob Fuglsang,29
Andriy Hrivko,30
Dmitriy Gruzdev,28
Maxim Iglinsky,33
Tanel Kangert,27
Michele Scarponi,34
Alessandro Vanotti,33
Lieuwe Westra,31
Peter Sagan,24
Maciej Bodnar,29
Alessandro De Marchi,28
Ted King,31
Kristijan Koren,27
Marco Marcato,30
Jean-Marc Marino,30
Fabio Sabatini,29
Elia Viviani,25
Bauke Mollema,27
Lars Boom,28
Stef Clement,31
Steven Kruijswijk,27
Tom Leezer,28
Bram Tankink,35
Laurens ten Dam,33
Sep Vanmarcke,25
Maarten Wynants,32
Mark Cavendish,29
Jan Bakelants,28
Michał Gołaś,30
Michał Kwiatkowski,24
Tony Martin,29
Alessandro Petacchi,40
Mark Renshaw,31
Niki Terpstra,30
Matteo Trentin,24
Jean-Christophe Péraud,37
Romain Bardet,24
Mikaël Cherel,28
Samuel Dumoulin,33
Ben Gastauer,26
Blel Kadri,27
Sébastien Minard,32
Matteo Montaguti,30
Christophe Riblon,33
Andrew Talansky,25
Janier Acevedo,28
Jack Bauer,29
Alex Howes,26
Ben King,25
Sebastian Langeveld,29
Ramūnas Navardauskas,26
Tom-Jelte Slagter,25
Johan Vansummeren,33
Marcel Kittel,26
Roy Curvers,34
Koen de Kort,31
John Degenkolb,25
Dries Devenyns,30
Tom Dumoulin,23
Ji Cheng,26
Albert Timmer,29
Tom Veelers,29
Rui Costa,27
Davide Cimolai,24
Kristijan Đurasek,26
Chris Horner,42
Sacha Modolo,27
Nelson Oliveira,25
Maximiliano Richeze,31
José Serpa,35
Rafael Valls,27
Arnaud Démare,22
William Bonnet,32
Mickaël Delage,28
Arnold Jeannesson,28
Mathieu Ladagnous,29
Cédric Pineau,29
Thibaut Pinot,24
Jérémy Roy,31
Arthur Vichot,25
Jurgen Van den Broeck,31
Lars Bak,34
Bart De Clercq,27
Tony Gallopin,26
André Greipel,31
Adam Hansen,33
Greg Henderson,37
Jürgen Roelandts,29
Marcel Sieberg,32
Tejay van Garderen,25
Darwin Atapuma,26
Marcus Burghardt,31
Amaël Moinard,32
Daniel Oss,27
Michael Schär,27
Peter Stetina,26
Greg Van Avermaet,29
Peter Velits,29
Pierre Rolland,27
Yukiya Arashiro,29
Bryan Coquard,22
Cyril Gautier,26
Yohann Gène,33
Alexandre Pichot,31
Perrig Quéméneur,30
Kévin Reza,26
Thomas Voeckler,35
Fränk Schleck,34
Matthew Busche,29
Fabian Cancellara,33
Markel Irizar,34
Grégory Rast,34
Andy Schleck,29
Danny van Poppel,20
Jens Voigt,42
Haimar Zubeldia,37
Daniel Navarro,30
Nicolas Edet,26
Egoitz García,28
Cyril Lemoine,31
Luis Ángel Maté,30
Rudy Molard,24
Adrien Petit,23
Julien Simon,28
Rein Taaramäe,27
Simon Gerrans,34
Michael Albasini,33
Simon Clarke,27
Luke Durbridge,23
Mathew Hayman,36
Jens Keukeleire,25
Christian Meier,29
Svein Tuft,37
Simon Yates,21
Mathias Frank,27
Sylvain Chavanel,35
Martin Elmiger,35
Heinrich Haussler,30
Reto Hollenstein,28
Roger Kluge,28
Jérôme Pineau,34
Sébastien Reichenbach,25
Marcel Wyss,28
Leopold König,26
Jan Bárta,29
David de la Cruz,25
Zak Dempster,26
Bartosz Huzarski,33
Tiago Machado,28
José Mendes,29
Andreas Schillinger,30
Paul Voss,28
Brice Feillu,28
Jean-Marc Bideau,30
Anthony Delaplace,24
Romain Feillu,30
Armindo Fonseca,25
Arnaud Gérard,29
Florian Guillou,31
Benoît Jarrier,25
Florian Vachon,29
