leto,mesto,ime_tekmovalca,država,ekipa,čas
2015,1,Nairo Quintana,Kolumbija,Movistar Team,84:47:26
2015,2,Romain Bardet,Francija,AG2R La Mondiale,14:48
2015,3,Warren Barguil,Francija,Team Giant–Alpecin,+ 30' 03"
2015,4,Thibaut Pinot,Francija,FDJ,+ 37' 40"
2015,5,Bob Jungels,Luksemburg,Trek Factory Racing,+ 1h 32' 09"
2015,6,Peter Sagan,Slovaška,Tinkoff–Saxo,+ 2h 13' 43"
2015,7,Adam Yates,Velika Britanija,Orica–GreenEDGE,+ 2h 15' 24"
2015,8,Wilco Kelderman,Nizozemska,LottoNL–Jumbo,+ 3h 02' 55"
2015,9,Emanuel Buchmann,Nemčija,Bora–Argon 18,+ 3h 07' 35"
2015,10,Merhawi Kudus,Eritreja,MTN–Qhubeka,+ 3h 09' 24"
