leto,mesto,ime_tekmovalca,država,ekipa,čas
2013,1,Nairo Quintana,Kolumbija,Movistar Team,84:01:00
2013,2,Andrew Talansky,ZDA,Garmin–Sharp,13:19
2013,3,Michał Kwiatkowski,Poljska,Omega Pharma–Quick-Step,+ 14' 39"
2013,4,Romain Bardet,Francija,Ag2r–La Mondiale,+ 22' 22"
2013,5,Tom Dumoulin,Nizozemska,Argos–Shimano,+ 1h 30' 10"
2013,6,Alexandre Geniez,Francija,FDJ.fr,+ 1h 33' 46"
2013,7,Tejay van Garderen,ZDA,BMC Racing Team,+ 1h 34' 37"
2013,8,Alexis Vuillermoz,Francija,Sojasun,+ 1h 35' 45"
2013,9,Tony Gallopin,Francija,RadioShack–Leopard,+ 1h 58' 39"
2013,10,Arthur Vichot,Francija,FDJ.fr,+ 2h 10' 46"
