leto,mesto,ime_tekmovalca,država,ekipa,čas
2016,1,Adam Yates,Velika Britanija,Orica–BikeExchange,89:09:30
2016,2,Louis Meintjes,JAR,Lampre–Merida,2:16
2016,3,Emanuel Buchmann,Nemčija,Bora–Argon 18,+ 42' 58"
2016,4,Warren Barguil,Francija,Team Giant–Alpecin,+ 47' 32"
2016,5,Wilco Kelderman,Nizozemska,LottoNL–Jumbo,+ 1h 19' 56"
2016,6,Julian Alaphilippe,Francija,Etixx–Quick-Step,+ 1h 55' 27"
2016,7,Jan Polanc,Slovenija,Lampre–Merida,+ 2h 13' 42"
2016,8,Eduardo Sepúlveda,Argentina,Fortuneo–Vital Concept,+ 2h 23' 45"
2016,9,Alexey Lutsenko,Kazahstan,Astana,+ 2h 37' 10"
2016,10,Patrick Konrad,Avstrija,Bora–Argon 18,+ 2h 41' 50"
