leto,mesto,ime_tekmovalca,država,ekipa,čas
2012,91,Brice Feillu,Francija,Saur-Sojasun,2:41:50

2012,92,Julien Simon,Francija,Saur-Sojasun,2:46:04

2012,93,Michael Mørkøv,Danska,Saxo Bank-Tinkoff Bank,2:46:14

2012,94,Arthur Vichot,Francija,FDJ-BigMat,2:46:51

2012,95,Stephen Cummings,Velika Britanija,BMC Racing Team,2:47:03

2012,96,Lars Ytting Bak,Danska,Lotto-Belisol,2:48:05

2012,97,Stuart O'Grady,Avstralija,Orica GreenEDGE,2:50:31

2012,98,Kristijan Koren,Slovenija,Liquigas-Cannondale,2:51:34

2012,99,Nicki Sørensen,Danska,Saxo Bank-Tinkoff Bank,2:53:11

2012,100,David Zabriskie,ZDA,Garmin-Sharp,2:53:26

2012,101,Rubén Plaza,Španija,Movistar Team,2:53:35

2012,102,Francis de Greef,Belgija,Lotto-Belisol,2:53:52

2012,103,Koen de Kort,Nizozemska,Argos-Shimano,2:54:13

2012,104,Jurgen Roelandts,Belgija,Lotto-Belisol,2:55:04

2012,105,Daniel Oss,Italija,Liquigas-Cannondale,2:55:24

2012,106,David Millar,Velika Britanija,Garmin-Sharp,2:55:24

2012,107,Samuel Dumoulin,Francija,Cofidis,2:56:02

2012,108,Luca Paolini,Italija,Team Katusha ,2:56:21

2012,109,Manuel Quinziato,Italija,BMC Racing Team,2:56:27

2012,110,Michael Albasini,Švica,Orica GreenEDGE,2:57:20

2012,111,Daryl Impey,JAR,Orica GreenEDGE,2:57:29

2012,112,Jérome Pineau,Francija,Omega Pharma-Quick-Step,2:57:58

2012,113,Matthieu Sprick,Francija,Argos-Shimano,2:58:15

2012,114,Federico Canuti,Italija,Liquigas-Cannondale,2:58:41

2012,115,Kris Boeckmans,Belgija,Vacansoleil-DCM,3:02:57

2012,116,Maxim Iglinskiy,Kazahstan,Astana,3:03:38

2012,117,Baden Cooke,Avstralija,Orica GreenEDGE,3:04:30

2012,118,Alessandro Vanotti,Italija,Liquigas-Cannondale,3:04:39

2012,119,Joan Horrach Rippoll,Španija,Team Katusha ,3:06:27

2012,120,Matthew Goss,Avstralija,Orica GreenEDGE,3:06:55

2012,121,Nick Nuyens,Belgija,Saxo Bank-Tinkoff Bank,3:08:29

2012,122,Sébastien Hinault,Francija,AG2R La Mondiale,3:08:57

2012,123,André Greipel,Nemčija,Lotto-Belisol,3:09:02

2012,124,Gregory Henderson,Nova Zelandija,Lotto-Belisol,3:13:06

2012,125,Bert Grabsch,Nemčija,Omega Pharma-Quick-Step,3:13:06

2012,126,Anthony Roux,Francija,FDJ-BigMat,3:16:38

2012,127,Anders Lund,Danska,Saxo Bank-Tinkoff Bank,3:17:07

2012,128,Nicolas Edet,Francija,Cofidis,3:17:16

2012,129,Borut Bozic,Slovenija,Astana,3:17:44

2012,130,Luis Ángel Maté,Španija,Cofidis,3:18:11

2012,131,Jean-Marc Marino,Francija,Saur-Sojasun,3:18:20

2012,132,Marcel Sieberg,Nemčija,Lotto-Belisol,3:19:36

2012,133,Cédric Pineau,Francija,FDJ-BigMat,3:20:24

2012,134,Pablo Urtasun,Španija,Euskaltel-Euskadi,3:21:34

2012,135,Roy Curvers,Nizozemska,Argos-Shimano,3:23:44

2012,136,Cyril Lemoine,Francija,Saur-Sojasun,3:23:55

2012,137,Jonathan Cantwell,Avstralija,Saxo Bank-Tinkoff Bank,3:25:08

2012,138,Yann Huguet,Francija,Argos-Shimano,3:26:43

2012,139,Yohann Gene,Francija,Team Europcar,3:26:58

2012,140,Juan Jose Haedo,Argentina,Saxo Bank-Tinkoff Bank,3:27:28

2012,141,Patrick Gretsch,Nemčija,Argos-Shimano,3:27:49

2012,142,Mark Cavendish,Velika Britanija,Team Sky,3:28:36

2012,143,Karsten Kroon,Nizozemska,Saxo Bank-Tinkoff Bank,3:28:56

2012,144,Bram Tankink,Nizozemska,Rabobank,3:31:24

2012,145,Aliaksandr Kuchynski,Belorusija,Team Katusha ,3:38:24

2012,146,Bernhard Eisel,Avstrija,Team Sky,3:38:48

2012,147,Johan Vansummeren,Belgija,Garmin-Sharp,3:40:01

2012,148,Albert Timmer,Nizozemska,Argos-Shimano,3:40:37

2012,149,Julien Fouchard,Francija,Cofidis,3:42:31

