leto,mesto,ime_tekmovalca,država,ekipa,čas
2014,70,Michael Albasini,Švica,Orica GreenEDGE,3:05:51

2014,71,Jan Bárta,Češka,NetApp Endura,3:07:18

2014,72,Tiago Machado,Portugalska,NetApp Endura,3:08:03

2014,73,Kévin Réza,Francija,Team Europcar,3:08:12

2014,74,Johan Vansummeren,Belgija,Garmin Sharp,3:08:40

2014,75,Martin Elmiger,Švica,IAM Cycling,3:12:10

2014,76,Matthieu Ladagnous,Francija,FDJ.fr ,3:14:41

2014,77,Nicolas Edet,Francija,Cofidis,3:19:34

2014,78,Anthony Delaplace,Francija,Bretagne-Séché Environnement,3:20:48

2014,79,Lieuwe Westra,Nizozemska,Astana,3:21:04

2014,80,Marco Marcato,Italija,Cannondale ,3:21:16

