leto,mesto,ime_tekmovalca,država,ekipa,točke
2016,1,Rafał Majka,Poljska,Tinkoff,209
2016,2,Thomas De Gendt,Belgija,Lotto–Soudal,130
2016,3,Jarlinson Pantano,Kolumbija,IAM Cycling,121
2016,4,Ilnur Zakarin,Rusija,Team Katusha,84
2016,5,Rui Costa,Portugalska,Lampre–Merida,76
2016,6,Serge Pauwels,Belgija,Team Dimension Data,62
2016,7,Stef Clement,Nizozemska,IAM Cycling,53
2016,8,Vincenzo Nibali,Italija,Astana,36
2016,9,Kristijan Đurasek,Hrvaška,Lampre–Merida,36
2016,10,Thomas Voeckler,Francija,Direct Énergie,33
