leto,št_etape,vrsta_etape,dolžina_etape,ime_tekmovalca,država,ekipa
2012,1,samostojni kronometer,6.4,Fabian Cancellara,Švica,RadioShack–Nissan
2012,2,ravninska,198,Peter Sagan,Slovaška,Liquigas–Cannondale
2012,3,ravninska,207.5,Mark Cavendish,Velika Britanija,Team Sky
2012,4,razgibana,197,Peter Sagan,Slovaška,Liquigas–Cannondale
2012,5,ravninska,214.5,André Greipel,Nemčija,Lotto–Belisol
2012,6,ravninska,196.5,André Greipel,Nemčija,Lotto–Belisol
2012,7,ravninska,207.5,Peter Sagan,Slovaška,Liquigas–Cannondale
2012,8,razgibana,199,Chris Froome,Velika Britanija,Team Sky
2012,9,razgibana,157.5,Thibaut Pinot,Francija,FDJ–BigMat
2012,10,samostojni kronometer,41.5,Bradley Wiggins,Velika Britanija,Team Sky
2012,11,gorska,194.5,Thomas Voeckler,Francija,Team Europcar
2012,12,gorska,148,Pierre Rolland,Francija,Team Europcar
2012,13,razgibana,226,David Millar,Velika Britanija,Garmin–Sharp
2012,14,ravninska,217,André Greipel,Nemčija,Lotto–Belisol
2012,15,gorska,191,Luis León Sánchez,Španija,Rabobank
2012,16,ravninska,158.5,Pierrick Fedrigo,Francija,FDJ–BigMat
2012,17,gorska,197,Thomas Voeckler,Francija,Team Europcar
2012,18,gorska,143.5,Alejandro Valverde,Španija,Movistar Team
2012,19,ravninska,222.5,Mark Cavendish,Velika Britanija,Team Sky
2012,20,samostojni kronometer,53.5,Bradley Wiggins,Velika Britanija,Team Sky
2012,21,ravninska,120,Mark Cavendish,Velika Britanija,Team Sky
