leto,št_etape,vrsta_etape,dolžina_etape,ime_tekmovalca,država,ekipa
2015,1,samostojni kronometer,13.8,Rohan Dennis,Avstralija,BMC Racing Team
2015,2,ravninska,166,André Greipel,Nemčija,Lotto–Soudal
2015,3,razgibana,159.5,Joaquim Rodríguez,Španija,Team Katusha
2015,4,ravninska,223.5,Tony Martin,Nemčija,Etixx–Quick-Step
2015,5,ravninska,189.5,André Greipel,Nemčija,Lotto–Soudal
2015,6,ravninska,191.5,Zdeněk Štybar,Češka,Etixx–Quick-Step
2015,7,ravninska,190.5,Mark Cavendish,Velika Britanija,Etixx–Quick-Step
2015,8,razgibana,181.5,Alexis Vuillermoz,Francija,AG2R La Mondiale
2015,9,moštveni kronometer,28,BMC Racing Team,Velika Britanija,/
2015,10,gorska,167,Chris Froome,Velika Britanija,Team Sky
2015,11,gorska,188,Rafał Majka,Poljska,Tinkoff–Saxo
2015,12,gorska,195,Joaquim Rodríguez,Španija,Team Katusha
2015,13,razgibana,198.5,Greg Van Avermaet,Belgija,BMC Racing Team
2015,14,razgibana,178.5,Steve Cummings,Velika Britanija,MTN–Qhubeka
2015,15,razgibana,183,André Greipel,Nemčija,Lotto–Soudal
2015,16,razgibana,201,Rubén Plaza Molina,Španija,Lampre–Merida
2015,17,gorska,161,Simon Geschke,Nemčija,Team Giant–Alpecin
2015,18,gorska,186.5,Romain Bardet,Francija,AG2R La Mondiale
2015,19,gorska,138,Vincenzo Nibali,Italija,Astana
2015,20,gorska,110.5,Thibaut Pinot,Francija,FDJ
2015,21,ravninska,109.5,André Greipel,Nemčija,Lotto–Soudal
