leto,št_etape,vrsta_etape,dolžina_etape,ime_tekmovalca,država,ekipa
2014,1,ravninska,190.5,Marcel Kittel,Nemčija,Giant–Shimano
2014,2,razgibana,201,Vincenzo Nibali,Italija,Astana
2014,3,ravninska,155,Marcel Kittel,Nemčija,Giant–Shimano
2014,4,ravninska,163.5,Marcel Kittel,Nemčija,Giant–Shimano
2014,5,ravninska,155.5,Lars Boom,Nizozemska,Belkin Pro Cycling
2014,6,ravninska,194,André Greipel,Nemčija,Lotto–Belisol
2014,7,ravninska,234.5,Matteo Trentin,Italija,Omega Pharma–Quick-Step
2014,8,razgibana,161,Blel Kadri,Francija,Ag2r–La Mondiale
2014,9,razgibana,170,Tony Martin,Nemčija,Omega Pharma–Quick-Step
2014,10,gorska,161.5,Vincenzo Nibali,Italija,Astana
2014,11,razgibana,187.5,Tony Gallopin,Francija,Lotto–Belisol
2014,12,ravninska,185.5,Alexander Kristoff,Norveška,Team Katusha
2014,13,gorska,197.5,Vincenzo Nibali,Italija,Astana
2014,14,gorska,177,Rafał Majka,Poljska,Tinkoff–Saxo
2014,15,ravninska,222,Alexander Kristoff,Norveška,Team Katusha
2014,16,gorska,237.5,Michael Rogers,Avstralija,Tinkoff–Saxo
2014,17,gorska,124.5,Rafał Majka,Poljska,Tinkoff–Saxo
2014,18,gorska,145.5,Vincenzo Nibali,Italija,Astana
2014,19,ravninska,208.5,Ramūnas Navardauskas,Litva,Garmin–Sharp
2014,20,samostojni kronometer,54,Tony Martin,Nemčija,Omega Pharma–Quick-Step
2014,21,ravninska,137.5,Marcel Kittel,Nemčija,Giant–Shimano
