leto,št_etape,vrsta_etape,dolžina_etape,ime_tekmovalca,država,ekipa
2016,1,ravninska,188,Mark Cavendish,Velika Britanija,Team Dimension Data
2016,2,razgibana,183,Peter Sagan,Slovaška,Tinkoff
2016,3,ravninska,223.5,Mark Cavendish,Velika Britanija,Team Dimension Data
2016,4,ravninska,237.5,Marcel Kittel,Nemčija,Etixx–Quick-Step
2016,5,razgibana,216,Greg Van Avermaet,Belgija,BMC Racing Team
2016,6,ravninska,190.5,Mark Cavendish,Velika Britanija,Team Dimension Data
2016,7,razgibana,162.5,Steve Cummings,Velika Britanija,Team Dimension Data
2016,8,gorska,184,Chris Froome,Velika Britanija,Team Sky
2016,9,gorska,184.5,Tom Dumoulin,Nizozemska,Team Giant–Alpecin
2016,10,razgibana,197,Michael Matthews,Avstralija,Orica–BikeExchange
2016,11,ravninska,162.5,Peter Sagan,Slovaška,Tinkoff
2016,12,gorska,178,Thomas De Gendt,Belgija,Lotto–Soudal
2016,13,samostojni kronometer,37.5,Tom Dumoulin,Nizozemska,Team Giant–Alpecin
2016,14,ravninska,208.5,Mark Cavendish,Velika Britanija,Team Dimension Data
2016,15,gorska,160,Jarlinson Pantano,Kolumbija,IAM Cycling
2016,16,razgibana,209,Peter Sagan,Slovaška,Tinkoff
2016,17,gorska,184.5,Ilnur Zakarin,Rusija,Team Katusha
2016,18,gorski kronometer,17,Chris Froome,Velika Britanija,Team Sky
2016,19,gorska,146,Romain Bardet,Francija,AG2R La Mondiale
2016,20,gorska,146.5,Jon Izagirre,Španija,Movistar Team
2016,21,ravninska,113,André Greipel,Nemčija,Lotto–Soudal
