leto,mesto,ime_tekmovalca,država,ekipa,čas
2015,1,Christopher Froome,Velika Britanija,Team Sky,84:46:14
2015,2,Nairo Quintana,Kolumbija,Movistar Team,1:12
2015,3,Alejandro Valverde,Španija,Movistar Team,5:25
2015,4,Vincenzo Nibali,Italija,Astana,8:36
2015,5,Alberto Contador,Španija, Tinkoff-Saxo,9:48
2015,6,Robert Gesink,Nizozemska,LottoNL-Jumbo,10:47
2015,7,Bauke Mollema,Nizozemska,Trek Factory Racing ,15:14
2015,8,Mathias Frank,Švica,IAM Cycling,15:39
2015,9,Romain Bardet,Francija,AG2R La Mondiale,16:00
2015,10,Pierre Rolland,Francija,Team Europcar,17:30
2015,11,Andrew Talansky,ZDA, Cannondale-Garmin ,22:06
2015,12,Samuel Sánchez,Španija,BMC Racing Team,22:50
2015,13,Serge Pauwels,Belgija, MTN-Qhubeka,31:03
2015,14,Warren Barguil,Francija, Team Giant-Alpecin,31:15
2015,15,Geraint Thomas,Velika Britanija,Team Sky,31:39
2015,16,Thibaut Pinot,Francija,FDJ,38:52
2015,17,Roman Kreuziger,Češka, Tinkoff-Saxo,1:02:51
2015,18,Mickaël Chérel,Francija,AG2R La Mondiale,1:05:00
2015,19,Jarlinson Pantano,Kolumbija,IAM Cycling,1:09:08
2015,20,Jan Bakelants,Belgija,AG2R La Mondiale,1:16:36
2015,21,Steven Kruijswijk,Nizozemska,LottoNL-Jumbo,1:21:27
2015,22,Tanel Kangert,Estonija,Astana,1:24:58
2015,23,Jakob Fuglsang,Danska,Astana,1:25:23
2015,24,Jonathan Castroviejo,Španija,Movistar Team,1:26:05
2015,25,Jan Bárta,Češka,Bora-Argon 18,1:26:56
2015,26,Alexis Vuillermoz,Francija,AG2R La Mondiale,1:28:29
2015,27,Bob Jungels,Luksemburg,Trek Factory Racing ,1:33:21
2015,28,Rafał Majka,Poljska, Tinkoff-Saxo,1:35:06
2015,29,Joaquim Rodríguez,Španija,Team Katusha ,1:36:07
2015,30,Rubén Plaza,Španija, Lampre-Merida,1:38:22
2015,31,Tony Gallopin,Francija,Lotto Soudal,1:40:44
2015,32,Gorka Izagirre,Španija,Movistar Team,1:41:34
2015,33,Romain Sicard,Francija,Team Europcar,1:51:32
2015,34,Cyril Gautier,Francija,Team Europcar,1:51:51
2015,35,Nicolas Roche,Irska,Team Sky,1:54:08
2015,36,Michael Rogers,Avstralija, Tinkoff-Saxo,1:56:13
2015,37,Lars Ytting Bak,Danska,Lotto Soudal,1:56:57
2015,38,Simon Geschke,Nemčija, Team Giant-Alpecin,1:58:14
2015,39,Daniel Martin,Irska, Cannondale-Garmin ,2:03:37
2015,40,Ryder Hesjedal,Kanada, Cannondale-Garmin ,2:04:37
2015,41,Michele Scarponi,Italija,Astana,2:05:03
2015,42,Rigoberto Uran,Kolumbija, Etixx-Quick Step,2:08:20
2015,43,Luis Ángel Maté,Španija, Cofidis,2:10:12
2015,44,Wout Poels,Nizozemska,Team Sky,2:12:44
2015,45,Thomas Voeckler,Francija,Team Europcar,2:14:08
2015,46,Peter Sagan,Slovaška, Tinkoff-Saxo,2:14:55
