leto,mesto,ime_tekmovalca,država,ekipa,točke
2013,1,Peter Sagan,Slovaška,Cannondale,409
2013,2,Mark Cavendish,Velika Britanija,Omega Pharma–Quick-Step,312
2013,3,André Greipel,Nemčija,Lotto–Belisol,267
2013,4,Marcel Kittel,Nemčija,Argos–Shimano,222
2013,5,Alexander Kristoff,Norveška,Team Katusha,177
2013,6,Juan Antonio Flecha,Španija,Vacansoleil–DCM,163
2013,7,José Joaquín Rojas,Španija,Movistar Team,156
2013,8,Michał Kwiatkowski,Poljska,Omega Pharma–Quick-Step,110
2013,9,Chris Froome,Velika Britanija,Team Sky,107
2013,10,Christophe Riblon,Francija,Ag2r–La Mondiale,104
